annotator_id,left_id,right_id,result
黄皓珺,pic_000.jpg,pic_012.jpg,left
黄皓珺,pic_000.jpg,pic_103.jpg,left
黄皓珺,pic_000.jpg,pic_105.jpg,left
黄皓珺,pic_000.jpg,pic_122.jpg,left
黄皓珺,pic_000.jpg,pic_124.jpg,left
黄皓珺,pic_000.jpg,pic_146.jpg,right
黄皓珺,pic_001.jpg,pic_012.jpg,right
黄皓珺,pic_001.jpg,pic_103.jpg,right
黄皓珺,pic_001.jpg,pic_105.jpg,right
黄皓珺,pic_001.jpg,pic_122.jpg,right
黄皓珺,pic_001.jpg,pic_124.jpg,right
黄皓珺,pic_001.jpg,pic_146.jpg,right
黄皓珺,pic_002.jpg,pic_012.jpg,right
黄皓珺,pic_002.jpg,pic_103.jpg,right
黄皓珺,pic_002.jpg,pic_105.jpg,right
黄皓珺,pic_002.jpg,pic_122.jpg,right
黄皓珺,pic_002.jpg,pic_124.jpg,right
黄皓珺,pic_002.jpg,pic_146.jpg,right
黄皓珺,pic_003.jpg,pic_012.jpg,right
黄皓珺,pic_003.jpg,pic_103.jpg,right
黄皓珺,pic_003.jpg,pic_105.jpg,right
黄皓珺,pic_003.jpg,pic_122.jpg,right
黄皓珺,pic_003.jpg,pic_124.jpg,right
黄皓珺,pic_003.jpg,pic_146.jpg,right
黄皓珺,pic_004.jpg,pic_012.jpg,right
黄皓珺,pic_004.jpg,pic_103.jpg,right
黄皓珺,pic_004.jpg,pic_105.jpg,right
黄皓珺,pic_004.jpg,pic_122.jpg,right
黄皓珺,pic_004.jpg,pic_124.jpg,left
黄皓珺,pic_004.jpg,pic_146.jpg,right
黄皓珺,pic_005.jpg,pic_012.jpg,left
黄皓珺,pic_005.jpg,pic_103.jpg,left
黄皓珺,pic_005.jpg,pic_105.jpg,left
黄皓珺,pic_005.jpg,pic_122.jpg,left
黄皓珺,pic_005.jpg,pic_124.jpg,left
黄皓珺,pic_005.jpg,pic_146.jpg,left
黄皓珺,pic_006.jpg,pic_012.jpg,left
黄皓珺,pic_006.jpg,pic_103.jpg,left
黄皓珺,pic_006.jpg,pic_105.jpg,left
黄皓珺,pic_006.jpg,pic_122.jpg,left
黄皓珺,pic_006.jpg,pic_124.jpg,left
黄皓珺,pic_006.jpg,pic_146.jpg,right
黄皓珺,pic_007.jpg,pic_012.jpg,right
黄皓珺,pic_007.jpg,pic_103.jpg,right
黄皓珺,pic_007.jpg,pic_105.jpg,right
黄皓珺,pic_007.jpg,pic_122.jpg,right
黄皓珺,pic_007.jpg,pic_124.jpg,right
黄皓珺,pic_007.jpg,pic_146.jpg,right
黄皓珺,pic_008.jpg,pic_012.jpg,right
黄皓珺,pic_008.jpg,pic_103.jpg,right
黄皓珺,pic_008.jpg,pic_105.jpg,right
黄皓珺,pic_008.jpg,pic_122.jpg,right
黄皓珺,pic_008.jpg,pic_124.jpg,right
黄皓珺,pic_008.jpg,pic_146.jpg,right
黄皓珺,pic_009.jpg,pic_012.jpg,left
黄皓珺,pic_009.jpg,pic_103.jpg,left
黄皓珺,pic_009.jpg,pic_105.jpg,left
黄皓珺,pic_009.jpg,pic_122.jpg,left
黄皓珺,pic_009.jpg,pic_124.jpg,left
黄皓珺,pic_009.jpg,pic_146.jpg,left
黄皓珺,pic_010.jpg,pic_012.jpg,right
黄皓珺,pic_010.jpg,pic_103.jpg,right
黄皓珺,pic_010.jpg,pic_105.jpg,right
黄皓珺,pic_010.jpg,pic_122.jpg,right
黄皓珺,pic_010.jpg,pic_124.jpg,right
黄皓珺,pic_010.jpg,pic_146.jpg,right
黄皓珺,pic_011.jpg,pic_012.jpg,right
黄皓珺,pic_011.jpg,pic_103.jpg,right
黄皓珺,pic_011.jpg,pic_105.jpg,right
黄皓珺,pic_011.jpg,pic_122.jpg,right
黄皓珺,pic_011.jpg,pic_124.jpg,right
黄皓珺,pic_011.jpg,pic_146.jpg,right
黄皓珺,pic_012.jpg,pic_013.jpg,left
黄皓珺,pic_012.jpg,pic_014.jpg,left
黄皓珺,pic_012.jpg,pic_015.jpg,left
黄皓珺,pic_012.jpg,pic_016.jpg,left
黄皓珺,pic_012.jpg,pic_017.jpg,left
黄皓珺,pic_012.jpg,pic_018.jpg,left
黄皓珺,pic_012.jpg,pic_019.jpg,left
黄皓珺,pic_012.jpg,pic_020.jpg,left
黄皓珺,pic_012.jpg,pic_021.jpg,left
黄皓珺,pic_012.jpg,pic_022.jpg,left
黄皓珺,pic_012.jpg,pic_023.jpg,left
黄皓珺,pic_012.jpg,pic_024.jpg,left
黄皓珺,pic_012.jpg,pic_025.jpg,left
黄皓珺,pic_012.jpg,pic_026.jpg,left
黄皓珺,pic_012.jpg,pic_027.jpg,left
黄皓珺,pic_012.jpg,pic_028.jpg,left
黄皓珺,pic_012.jpg,pic_029.jpg,left
黄皓珺,pic_012.jpg,pic_030.jpg,left
黄皓珺,pic_012.jpg,pic_031.jpg,left
